sp_id,rp_id,seeker_post,response_post,level,rationales
m1r7v3,k5y8n9,"I feel like I’m constantly running but never getting anywhere.","What do you think keeps you feeling stuck despite all the effort?",2,"What do you think keeps you feeling stuck despite all the effort?"
n4t8b1,h9r2p6,"I’m scared to show people how much I’m struggling.","What do you think makes vulnerability feel unsafe for you?",2,"What do you think makes vulnerability feel unsafe for you?"
o7k3d5,p2m9v4,"I can’t stop thinking about the mistakes I’ve made.","What do you think you’re holding onto when you replay those moments?",2,"What do you think you’re holding onto when you replay those moments?"
p9y6r2,a8t1n3,"I feel invisible when I’m around my friends.","What would help you feel more seen and valued by them?",2,"What would help you feel more seen and valued by them?"
q2b4t8,l6r9f5,"It’s exhausting trying to be strong all the time.","What would it look like to let yourself not be strong for a while?",2,"What would it look like to let yourself not be strong for a while?"
r5v1n7,c3t2m8,"I feel like I don’t belong anywhere anymore.","What kind of place or group would help you feel a sense of belonging?",2,"What kind of place or group would help you feel a sense of belonging?"
s8m4r9,e1t3v5,"I hate how easily I get defensive when people criticize me.","What do you think that defensiveness might be trying to protect?",2,"What do you think that defensiveness might be trying to protect?"
t3k6n8,g2p7r1,"I can’t stop feeling anxious about things I can’t control.","What do you think helps you regain a sense of calm when that happens?",2,"What do you think helps you regain a sense of calm when that happens?"
u5r9b3,w4t2n6,"It’s like I’ve lost the motivation to do anything lately.","What do you think would help you reconnect with your sense of purpose?",2,"What do you think would help you reconnect with your sense of purpose?"
v9n1t7,d3r5m4,"I feel like I’m always being left out.","What do you think makes you feel excluded in those moments?",2,"What do you think makes you feel excluded in those moments?"
w8t4y2,k9m3r7,"I wish I could stop worrying about disappointing people.","What would change for you if you started focusing on your own approval instead?",2,"What would change for you if you started focusing on your own approval instead?"
x6b9r5,f1p2t8,"I feel like my opinions don’t matter to anyone.","What would it take for you to feel like your voice has weight?",2,"What would it take for you to feel like your voice has weight?"
y3k8n6,a7r4v2,"I can’t stop comparing my progress to others.","What do you think you’re hoping to find through those comparisons?",2,"What do you think you’re hoping to find through those comparisons?"
z1t5r9,h2n3k8,"I’m scared that I’ll never be truly happy again.","What does happiness look like for you now, compared to before?",2,"What does happiness look like for you now, compared to before?"
a6v9m2,j5t1n4,"It’s hard to keep pretending I’m okay when I’m not.","What would it feel like to let someone see your real emotions?",2,"What would it feel like to let someone see your real emotions?"
b9p7t4,n8r2v3,"I feel like I’m always walking on eggshells around people.","What do you think causes you to feel unsafe expressing yourself?",2,"What do you think causes you to feel unsafe expressing yourself?"
c4m3r5,e7t9b6,"I can’t stop feeling like I’m behind in life.","What would progress look like for you if you defined it your own way?",2,"What would progress look like for you if you defined it your own way?"
d7r2k8,p6m9n1,"I’m scared to take risks because I’ve failed before.","What do you think you learned from those past failures?",2,"What do you think you learned from those past failures?"
e9t4v7,l2r6p3,"I feel like I’ve lost my sense of direction completely.","What would help you start finding that direction again?",2,"What would help you start finding that direction again?"
f3n8k1,w9t5r4,"I hate that I push people away when they get too close.","What do you think makes closeness feel uncomfortable for you?",2,"What do you think makes closeness feel uncomfortable for you?"
g7b1r9,c8m2t6,"It’s like I’m constantly fighting to prove myself.","What would it mean for you to feel accepted without having to prove anything?",2,"What would it mean for you to feel accepted without having to prove anything?"
h5p2n3,q4r8t9,"I can’t stop worrying about how people see me.","What do you think fuels your need for external validation?",2,"What do you think fuels your need for external validation?"
i8r6v4,f7k1t5,"I feel like I’ve forgotten how to be happy.","What’s one thing that used to bring you joy that you could revisit?",2,"What’s one thing that used to bring you joy that you could revisit?"
j4m9n2,a3t8r6,"I can’t stop feeling like a burden to everyone.","What would it mean to believe that you’re worthy of support?",2,"What would it mean to believe that you’re worthy of support?"
k9b3t7,l4r2v5,"I feel like I’m losing myself in trying to please others.","What do you think would happen if you started saying no more often?",2,"What do you think would happen if you started saying no more often?"
l6r8n9,p1m4t3,"It’s hard to stop feeling like I’m not enough.","What moments make you feel the strongest sense of inadequacy?",2,"What moments make you feel the strongest sense of inadequacy?"
m3v1k5,d8t7r9,"I’m tired of pretending to have everything figured out.","What would it be like to accept that it’s okay not to know right now?",2,"What would it be like to accept that it’s okay not to know right now?"
n2y9r6,w5t8p4,"I feel like no one truly understands what I’m going through.","What would it take for you to feel truly understood by someone?",2,"What would it take for you to feel truly understood by someone?"
o8r4t3,f9m7v2,"I can’t stop feeling anxious about the future.","What’s the biggest worry that keeps coming up for you?",2,"What’s the biggest worry that keeps coming up for you?"
p5t6b2,g1r3n7,"I feel like I’ve failed everyone I care about.","What do you think failure means to you in this situation?",2,"What do you think failure means to you in this situation?"
